City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,18.23,98,100,4.92,NZ,1706476466
1,stanley,54.868,-1.6985,11.27,86,20,8.75,GB,1706476466
2,longyearbyen,78.2186,15.6401,-10.09,79,0,3.09,SJ,1706476248
3,bredasdorp,-34.5322,20.0403,20.04,77,100,1.0,ZA,1706476241
4,ust'-kut,56.7938,105.7672,-40.31,100,78,0.89,RU,1706476467
5,uturoa,-16.7333,-151.4333,28.22,78,36,3.67,PF,1706476467
6,ribeira grande,38.5167,-28.7,14.87,62,40,4.63,PT,1706476467
7,forbes,-33.3833,148.0167,21.3,65,0,2.77,AU,1706476468
8,kismayo,-0.3582,42.5454,26.84,84,95,5.32,SO,1706476468
9,kenora,49.8167,-94.4337,-0.46,100,75,4.12,CA,1706476468
10,warrnambool,-38.3833,142.4833,16.24,84,0,2.14,AU,1706476226
11,adamstown,-25.066,-130.1015,24.24,78,100,5.13,PN,1706476468
12,west island,-12.1568,96.8225,25.99,73,40,4.63,CC,1706476469
13,jamestown,42.097,-79.2353,2.79,100,100,4.12,US,1706476019
14,myrina,39.8797,25.0742,6.58,70,75,5.14,GR,1706476469
15,tolanaro,-25.0319,46.9987,23.72,85,100,4.8,MG,1706476469
16,yellowknife,62.456,-114.3525,-11.99,89,100,4.12,CA,1706476469
17,port-aux-francais,-49.35,70.2167,5.01,68,87,13.4,TF,1706476470
18,albany,42.6001,-73.9662,1.87,84,100,0.45,US,1706476395
19,hawaiian paradise park,19.5933,-154.9731,28.73,67,0,2.57,US,1706476470
20,ypsonas,34.6884,32.9574,11.54,66,40,5.66,CY,1706476470
21,lebu,-37.6167,-73.65,16.54,72,0,7.26,CL,1706476471
22,margaret river,-33.95,115.0667,11.25,86,81,3.16,AU,1706476471
23,zhangye,38.9342,100.4517,-4.91,23,35,0.55,CN,1706476471
24,port elizabeth,-33.918,25.5701,21.84,77,0,7.72,ZA,1706476472
25,igrim,63.1906,64.4162,-20.41,100,63,1.58,RU,1706476472
26,manokwari,-0.8667,134.0833,25.97,81,95,1.71,ID,1706476472
27,iglesias,39.3114,8.535,10.68,92,41,2.37,IT,1706476472
28,castillos,-34.1667,-53.8333,23.38,65,56,5.06,UY,1706476472
29,arraial do cabo,-22.9661,-42.0278,25.98,89,75,2.57,BR,1706476473
30,chadron,42.8294,-102.9999,8.86,57,0,2.06,US,1706476473
31,mossel bay,-34.1831,22.146,17.96,83,32,1.11,ZA,1706476473
32,tiksi,71.6872,128.8694,-22.63,80,97,5.28,RU,1706476474
33,kruisfontein,-34.0033,24.7314,19.38,70,50,3.24,ZA,1706476474
34,wailua homesteads,22.0669,-159.378,27.08,77,100,4.63,US,1706476474
35,mugia,43.1041,-9.2179,17.73,67,100,11.44,ES,1706476474
36,hamilton,39.1834,-84.5333,4.43,93,100,7.72,US,1706476453
37,vilyuchinsk,52.9306,158.4028,-8.93,86,84,3.17,RU,1706476475
38,vozhega,60.4725,40.2213,-7.45,97,100,2.54,RU,1706476475
39,invercargill,-46.4,168.35,16.12,89,6,1.79,NZ,1706476475
40,kapuskasing,49.4169,-82.4331,-1.95,86,100,3.6,CA,1706476475
41,qaqortoq,60.7167,-46.0333,-23.13,64,16,4.71,GL,1706476476
42,yuzhno-kurilsk,44.0306,145.8556,0.21,93,78,5.44,RU,1706476476
43,chunskiy,56.0815,99.6342,-31.29,99,5,1.43,RU,1706476476
44,iqaluit,63.7506,-68.5145,-36.15,55,20,7.2,CA,1706476476
45,bodo,67.28,14.405,7.65,84,100,10.8,NO,1706476476
46,madera,37.1666,-119.8343,25.08,60,70,1.14,US,1706476445
47,remire-montjoly,4.9167,-52.2667,29.02,70,75,3.6,GF,1706476477
48,ishigaki,24.3448,124.1572,18.07,72,75,6.69,JP,1706476477
49,papatowai,-46.5619,169.4708,16.41,63,7,1.48,NZ,1706476477
50,berezovyy,51.6667,135.7,-16.34,98,100,0.73,RU,1706476478
51,utrik,11.2278,169.8474,25.49,66,100,5.23,MH,1706476478
52,avarua,-21.2078,-159.775,27.03,83,100,4.63,CK,1706476386
53,grytviken,-54.2811,-36.5092,6.17,80,16,7.89,GS,1706476478
54,kharan,28.5833,65.4167,17.71,68,60,4.42,PK,1706476478
55,corinto,37.9407,22.9573,6.05,56,14,3.81,GR,1706476479
56,whitehorse,60.7161,-135.0538,3.43,74,75,8.75,CA,1706476479
57,blackmans bay,-43.0167,147.3167,18.74,67,1,2.19,AU,1706476479
58,safford,32.834,-109.7076,18.19,30,0,3.09,US,1706476479
59,porto novo,6.4965,2.6036,28.9,52,0,2.66,BJ,1706476479
60,bikenibeu village,1.3673,173.1241,28.98,79,100,0.0,KI,1706476480
61,adamovka,51.5223,59.9396,-21.31,93,86,1.45,RU,1706476480
62,georgetown,5.4112,100.3354,26.96,65,20,3.09,MY,1706476463
63,nguigmi,14.2495,13.1092,19.57,27,22,6.08,NE,1706476480
64,malaya vishera,58.8454,32.2222,-1.0,96,100,3.26,RU,1706476480
65,ar ruways,24.1103,52.7306,19.7,65,79,7.07,AE,1706476481
66,san carlos de bariloche,-41.1456,-71.3082,24.86,22,20,11.83,AR,1706476481
67,yichang,30.7144,111.2847,5.06,63,75,0.78,CN,1706476481
68,madang,-5.2246,145.7966,25.39,90,100,1.1,PG,1706476481
69,ballina,-28.8667,153.5667,27.1,93,100,5.0,AU,1706476482
70,chuguyevka,44.1653,133.8633,-18.48,98,48,1.48,RU,1706476482
71,bilibino,68.0546,166.4372,-29.73,99,100,1.21,RU,1706476482
72,puerto ayora,-0.7393,-90.3518,30.98,72,100,4.09,EC,1706476482
73,n'zeto,-7.2312,12.8666,27.55,84,100,1.24,AO,1706476482
74,magalia,39.8121,-121.5783,15.79,49,41,0.64,US,1706476483
75,lieksa,63.3167,30.0167,0.28,94,100,7.2,FI,1706476483
76,visakhapatnam,17.69,83.2093,20.73,73,65,1.21,IN,1706476483
77,puerto natales,-51.7236,-72.4875,17.25,45,40,10.29,CL,1706476483
78,edinburgh of the seven seas,-37.0676,-12.3116,15.8,73,52,5.69,SH,1706476483
79,olonkinbyen,70.9221,-8.7187,-4.13,77,100,8.05,SJ,1706476484
80,college,64.8569,-147.8028,-35.03,69,75,0.0,US,1706476484
